2026-07-14 11:49:19,531 [INFO] tokens per iteration will be: 8,192
2026-07-14 11:49:19,531 [INFO] run directory: out/tinystories_flashatt4_ctx256_bs32_20260714_114919
2026-07-14 11:49:19,531 [INFO] Initializing new model with block_size=256
2026-07-14 11:49:20,908 [INFO] model has 123.59M parameters
2026-07-14 11:49:20,910 [INFO] compiling the model...
2026-07-14 11:49:20,911 [INFO] compile time 0.00s
2026-07-14 11:49:26,466 [INFO] step 0: val loss 10.9909
2026-07-14 11:49:38,233 [INFO] iter 0: loss 10.9840, time 17300.44ms, mfu -100.00%, tok/s 474
2026-07-14 11:49:38,426 [INFO] iter 1: loss 10.3221, time 197.24ms, mfu -100.00%, tok/s 41,534
2026-07-14 11:49:38,609 [INFO] iter 2: loss 9.7655, time 183.06ms, mfu -100.00%, tok/s 44,751
2026-07-14 11:49:38,793 [INFO] iter 3: loss 9.4555, time 184.21ms, mfu -100.00%, tok/s 44,470
2026-07-14 11:49:38,975 [INFO] iter 4: loss 9.3105, time 181.54ms, mfu -100.00%, tok/s 45,124
2026-07-14 11:49:39,160 [INFO] iter 5: loss 9.1209, time 184.41ms, mfu 10.96%, tok/s 44,423
2026-07-14 11:49:39,342 [INFO] iter 6: loss 9.0363, time 182.96ms, mfu 10.97%, tok/s 44,774
2026-07-14 11:49:39,525 [INFO] iter 7: loss 8.9647, time 182.71ms, mfu 10.98%, tok/s 44,836
2026-07-14 11:49:39,707 [INFO] iter 8: loss 8.8304, time 182.31ms, mfu 10.99%, tok/s 44,936
2026-07-14 11:49:39,889 [INFO] iter 9: loss 8.6232, time 182.27ms, mfu 11.00%, tok/s 44,944
2026-07-14 11:49:40,073 [INFO] iter 10: loss 8.4836, time 182.88ms, mfu 11.01%, tok/s 44,796
2026-07-14 11:49:40,256 [INFO] iter 11: loss 9.6123, time 183.56ms, mfu 11.01%, tok/s 44,628
2026-07-14 11:49:40,439 [INFO] iter 12: loss 8.1178, time 183.08ms, mfu 11.01%, tok/s 44,744
2026-07-14 11:49:40,622 [INFO] iter 13: loss 8.0253, time 182.85ms, mfu 11.01%, tok/s 44,801
2026-07-14 11:49:40,805 [INFO] iter 14: loss 7.8757, time 183.69ms, mfu 11.01%, tok/s 44,598
2026-07-14 11:49:40,987 [INFO] iter 15: loss 7.7122, time 181.28ms, mfu 11.03%, tok/s 45,189
2026-07-14 11:49:41,175 [INFO] iter 16: loss 7.4880, time 188.24ms, mfu 11.00%, tok/s 43,518
2026-07-14 11:49:41,358 [INFO] iter 17: loss 7.3437, time 183.10ms, mfu 11.00%, tok/s 44,740
2026-07-14 11:49:41,541 [INFO] iter 18: loss 7.1430, time 183.11ms, mfu 11.01%, tok/s 44,738
2026-07-14 11:49:41,725 [INFO] iter 19: loss 6.9163, time 183.96ms, mfu 11.00%, tok/s 44,533
2026-07-14 11:49:41,908 [INFO] iter 20: loss 6.7210, time 182.62ms, mfu 11.01%, tok/s 44,858
2026-07-14 11:49:42,089 [INFO] iter 21: loss 6.6009, time 181.73ms, mfu 11.02%, tok/s 45,077
2026-07-14 11:49:42,271 [INFO] iter 22: loss 6.3224, time 181.88ms, mfu 11.03%, tok/s 45,042
2026-07-14 11:49:42,453 [INFO] iter 23: loss 6.0196, time 181.53ms, mfu 11.04%, tok/s 45,126
2026-07-14 11:49:42,637 [INFO] iter 24: loss 5.9166, time 183.95ms, mfu 11.04%, tok/s 44,533
2026-07-14 11:49:42,820 [INFO] iter 25: loss 5.7642, time 182.88ms, mfu 11.04%, tok/s 44,795
2026-07-14 11:49:43,002 [INFO] iter 26: loss 5.6280, time 181.91ms, mfu 11.04%, tok/s 45,034
2026-07-14 11:49:43,186 [INFO] iter 27: loss 5.4936, time 183.89ms, mfu 11.04%, tok/s 44,549
2026-07-14 11:49:43,368 [INFO] iter 28: loss 5.4552, time 182.23ms, mfu 11.04%, tok/s 44,955
2026-07-14 11:49:43,551 [INFO] iter 29: loss 5.3043, time 183.05ms, mfu 11.04%, tok/s 44,752
2026-07-14 11:49:43,735 [INFO] iter 30: loss 5.1746, time 183.76ms, mfu 11.04%, tok/s 44,581
2026-07-14 11:49:43,924 [INFO] iter 31: loss 5.2032, time 190.09ms, mfu 11.00%, tok/s 43,095
2026-07-14 11:49:44,106 [INFO] iter 32: loss 5.1181, time 181.56ms, mfu 11.01%, tok/s 45,121
2026-07-14 11:49:44,290 [INFO] iter 33: loss 4.9585, time 183.51ms, mfu 11.01%, tok/s 44,640
2026-07-14 11:49:44,472 [INFO] iter 34: loss 4.8596, time 182.87ms, mfu 11.02%, tok/s 44,797
2026-07-14 11:49:44,657 [INFO] iter 35: loss 4.9532, time 184.14ms, mfu 11.01%, tok/s 44,487
2026-07-14 11:49:44,839 [INFO] iter 36: loss 5.0530, time 182.32ms, mfu 11.02%, tok/s 44,933
2026-07-14 11:49:45,021 [INFO] iter 37: loss 4.8544, time 182.59ms, mfu 11.03%, tok/s 44,865
2026-07-14 11:49:45,204 [INFO] iter 38: loss 4.6671, time 181.80ms, mfu 11.03%, tok/s 45,060
2026-07-14 11:49:45,387 [INFO] iter 39: loss 4.7511, time 183.28ms, mfu 11.03%, tok/s 44,697
2026-07-14 11:49:45,570 [INFO] iter 40: loss 4.7562, time 182.96ms, mfu 11.04%, tok/s 44,775
2026-07-14 11:49:45,754 [INFO] iter 41: loss 4.6869, time 184.50ms, mfu 11.03%, tok/s 44,402
2026-07-14 11:49:45,938 [INFO] iter 42: loss 4.6670, time 183.30ms, mfu 11.03%, tok/s 44,692
2026-07-14 11:49:46,119 [INFO] iter 43: loss 4.6721, time 181.95ms, mfu 11.04%, tok/s 45,023
2026-07-14 11:49:46,302 [INFO] iter 44: loss 4.6156, time 181.85ms, mfu 11.04%, tok/s 45,047
2026-07-14 11:49:46,484 [INFO] iter 45: loss 4.5588, time 182.56ms, mfu 11.05%, tok/s 44,874
2026-07-14 11:49:46,668 [INFO] iter 46: loss 4.3406, time 183.81ms, mfu 11.04%, tok/s 44,569
2026-07-14 11:49:46,850 [INFO] iter 47: loss 4.5591, time 182.37ms, mfu 11.05%, tok/s 44,920
2026-07-14 11:49:47,033 [INFO] iter 48: loss 4.5086, time 182.73ms, mfu 11.05%, tok/s 44,831
2026-07-14 11:49:47,214 [INFO] iter 49: loss 4.3841, time 181.45ms, mfu 11.06%, tok/s 45,147
