2026-07-14 11:20:17,385 [INFO] tokens per iteration will be: 32,768
2026-07-14 11:20:17,385 [INFO] run directory: out/tinystories_flashatt4_kernel_gpt2s_bs32_ctx1024_20260714_112017
2026-07-14 11:20:17,385 [INFO] Initializing a new model from scratch
2026-07-14 11:20:18,947 [INFO] model has 123.59M parameters
2026-07-14 11:20:19,364 [INFO] compiling the model... (takes a ~minute)
2026-07-14 11:20:19,756 [INFO] compile time 0.39s
2026-07-14 11:20:26,628 [INFO] step 0: val loss 10.9659
2026-07-14 11:20:28,174 [INFO] iter 0: loss 10.9707, time 8399.38ms, mfu -100.00%, tok/s 3,901
2026-07-14 11:20:28,839 [INFO] iter 1: loss 10.5064, time 664.37ms, mfu -100.00%, tok/s 49,322
2026-07-14 11:20:29,480 [INFO] iter 2: loss 10.0094, time 641.33ms, mfu -100.00%, tok/s 51,094
2026-07-14 11:20:30,120 [INFO] iter 3: loss 9.6564, time 640.35ms, mfu -100.00%, tok/s 51,172
2026-07-14 11:20:30,762 [INFO] iter 4: loss 9.4047, time 641.48ms, mfu -100.00%, tok/s 51,082
2026-07-14 11:20:31,402 [INFO] iter 5: loss 9.2409, time 640.15ms, mfu 14.02%, tok/s 51,188
2026-07-14 11:20:32,043 [INFO] iter 6: loss 9.1218, time 640.29ms, mfu 14.02%, tok/s 51,176
2026-07-14 11:20:32,686 [INFO] iter 7: loss 9.0338, time 642.68ms, mfu 14.02%, tok/s 50,986
2026-07-14 11:20:33,330 [INFO] iter 8: loss 8.9760, time 644.51ms, mfu 14.01%, tok/s 50,842
2026-07-14 11:20:33,973 [INFO] iter 9: loss 8.8714, time 643.03ms, mfu 14.00%, tok/s 50,959
2026-07-14 11:20:34,615 [INFO] iter 10: loss 8.7223, time 642.22ms, mfu 14.00%, tok/s 51,023
2026-07-14 11:20:35,259 [INFO] iter 11: loss 8.5330, time 643.34ms, mfu 14.00%, tok/s 50,934
2026-07-14 11:20:35,901 [INFO] iter 12: loss 8.5318, time 642.69ms, mfu 13.99%, tok/s 50,986
2026-07-14 11:20:36,543 [INFO] iter 13: loss 8.3641, time 642.13ms, mfu 13.99%, tok/s 51,030
