2026-07-14 11:03:47,833 [INFO] tokens per iteration will be: 32,768
2026-07-14 11:03:47,834 [INFO] run directory: out/tinystories_flashatt_kernel_gpt2s_bs32_ctx1024_20260714_110347
2026-07-14 11:03:47,834 [INFO] Initializing a new model from scratch
2026-07-14 11:03:49,375 [INFO] model has 123.59M parameters
2026-07-14 11:03:49,796 [INFO] compiling the model... (takes a ~minute)
2026-07-14 11:03:50,186 [INFO] compile time 0.39s
2026-07-14 11:03:57,088 [INFO] step 0: val loss 10.9659
2026-07-14 11:03:58,697 [INFO] iter 0: loss 10.9707, time 8508.19ms, mfu -100.00%, tok/s 3,851
2026-07-14 11:03:59,361 [INFO] iter 1: loss 10.5064, time 648.11ms, mfu -100.00%, tok/s 50,559
2026-07-14 11:03:59,999 [INFO] iter 2: loss 10.0094, time 637.16ms, mfu -100.00%, tok/s 51,428
2026-07-14 11:04:00,639 [INFO] iter 3: loss 9.6563, time 640.25ms, mfu -100.00%, tok/s 51,180
2026-07-14 11:04:01,275 [INFO] iter 4: loss 9.4047, time 636.72ms, mfu -100.00%, tok/s 51,464
2026-07-14 11:04:01,917 [INFO] iter 5: loss 9.2408, time 640.89ms, mfu 14.01%, tok/s 51,129
2026-07-14 11:04:02,558 [INFO] iter 6: loss 9.1218, time 641.29ms, mfu 14.01%, tok/s 51,097
2026-07-14 11:04:03,196 [INFO] iter 7: loss 9.0337, time 638.45ms, mfu 14.01%, tok/s 51,324
2026-07-14 11:04:03,831 [INFO] iter 8: loss 8.9760, time 635.05ms, mfu 14.02%, tok/s 51,599
2026-07-14 11:04:04,471 [INFO] iter 9: loss 8.8714, time 639.82ms, mfu 14.03%, tok/s 51,215
2026-07-14 11:04:05,108 [INFO] iter 10: loss 8.7222, time 636.79ms, mfu 14.03%, tok/s 51,458
2026-07-14 11:04:05,748 [INFO] iter 11: loss 8.5329, time 639.78ms, mfu 14.03%, tok/s 51,218
2026-07-14 11:04:06,386 [INFO] iter 12: loss 8.5318, time 638.29ms, mfu 14.04%, tok/s 51,337
2026-07-14 11:04:07,023 [INFO] iter 13: loss 8.3641, time 637.26ms, mfu 14.04%, tok/s 51,420
2026-07-14 11:04:07,661 [INFO] iter 14: loss 8.3016, time 637.50ms, mfu 14.04%, tok/s 51,401
2026-07-14 11:04:08,297 [INFO] iter 15: loss 8.0198, time 636.92ms, mfu 14.05%, tok/s 51,447
2026-07-14 11:04:08,937 [INFO] iter 16: loss 8.0211, time 639.42ms, mfu 14.05%, tok/s 51,246
2026-07-14 11:04:09,577 [INFO] iter 17: loss 7.7807, time 639.48ms, mfu 14.05%, tok/s 51,242
2026-07-14 11:04:10,217 [INFO] iter 18: loss 7.7290, time 640.63ms, mfu 14.04%, tok/s 51,149
2026-07-14 11:04:10,852 [INFO] iter 19: loss 7.5394, time 634.49ms, mfu 14.05%, tok/s 51,644
2026-07-14 11:04:11,492 [INFO] iter 20: loss 7.4130, time 640.41ms, mfu 14.05%, tok/s 51,167
2026-07-14 11:04:12,129 [INFO] iter 21: loss 7.2572, time 637.02ms, mfu 14.06%, tok/s 51,439
2026-07-14 11:04:12,768 [INFO] iter 22: loss 7.1078, time 639.31ms, mfu 14.05%, tok/s 51,255
2026-07-14 11:04:13,413 [INFO] iter 23: loss 7.0040, time 644.06ms, mfu 14.04%, tok/s 50,877
2026-07-14 11:04:14,054 [INFO] iter 24: loss 6.8642, time 641.57ms, mfu 14.04%, tok/s 51,074
2026-07-14 11:04:14,694 [INFO] iter 25: loss 6.6706, time 640.78ms, mfu 14.03%, tok/s 51,138
2026-07-14 11:04:15,335 [INFO] iter 26: loss 6.5583, time 639.99ms, mfu 14.03%, tok/s 51,200
2026-07-14 11:04:15,972 [INFO] iter 27: loss 6.4785, time 637.42ms, mfu 14.04%, tok/s 51,407
2026-07-14 11:04:16,609 [INFO] iter 28: loss 6.3330, time 637.21ms, mfu 14.04%, tok/s 51,424
2026-07-14 11:04:17,246 [INFO] iter 29: loss 6.1314, time 636.68ms, mfu 14.05%, tok/s 51,467
2026-07-14 11:04:17,885 [INFO] iter 30: loss 6.0677, time 639.11ms, mfu 14.05%, tok/s 51,271
2026-07-14 11:04:18,524 [INFO] iter 31: loss 5.8583, time 638.86ms, mfu 14.05%, tok/s 51,291
2026-07-14 11:04:19,161 [INFO] iter 32: loss 5.7744, time 636.57ms, mfu 14.05%, tok/s 51,476
2026-07-14 11:04:19,798 [INFO] iter 33: loss 5.5989, time 637.58ms, mfu 14.06%, tok/s 51,394
2026-07-14 11:04:20,436 [INFO] iter 34: loss 5.5265, time 637.49ms, mfu 14.06%, tok/s 51,402
2026-07-14 11:04:21,076 [INFO] iter 35: loss 5.4331, time 640.23ms, mfu 14.06%, tok/s 51,182
2026-07-14 11:04:21,716 [INFO] iter 36: loss 5.2908, time 639.89ms, mfu 14.05%, tok/s 51,209
2026-07-14 11:04:22,357 [INFO] iter 37: loss 5.1334, time 640.60ms, mfu 14.05%, tok/s 51,152
2026-07-14 11:04:22,996 [INFO] iter 38: loss 5.0605, time 639.60ms, mfu 14.05%, tok/s 51,232
2026-07-14 11:04:23,634 [INFO] iter 39: loss 4.9884, time 637.77ms, mfu 14.05%, tok/s 51,379
2026-07-14 11:04:24,278 [INFO] iter 40: loss 4.9237, time 643.87ms, mfu 14.04%, tok/s 50,892
2026-07-14 11:04:24,918 [INFO] iter 41: loss 4.8279, time 640.19ms, mfu 14.04%, tok/s 51,184
2026-07-14 11:04:25,558 [INFO] iter 42: loss 4.7804, time 639.93ms, mfu 14.04%, tok/s 51,206
2026-07-14 11:04:26,199 [INFO] iter 43: loss 4.7683, time 641.37ms, mfu 14.03%, tok/s 51,091
2026-07-14 11:04:26,839 [INFO] iter 44: loss 4.6134, time 639.83ms, mfu 14.03%, tok/s 51,214
2026-07-14 11:04:27,480 [INFO] iter 45: loss 4.6583, time 640.42ms, mfu 14.03%, tok/s 51,166
2026-07-14 11:04:28,120 [INFO] iter 46: loss 4.5234, time 640.40ms, mfu 14.03%, tok/s 51,168
2026-07-14 11:04:28,760 [INFO] iter 47: loss 4.5341, time 640.22ms, mfu 14.03%, tok/s 51,182
2026-07-14 11:04:29,400 [INFO] iter 48: loss 4.5271, time 640.37ms, mfu 14.03%, tok/s 51,170
2026-07-14 11:04:30,040 [INFO] iter 49: loss 4.4661, time 639.58ms, mfu 14.03%, tok/s 51,234
2026-07-14 11:04:30,676 [INFO] iter 50: loss 4.4256, time 636.06ms, mfu 14.04%, tok/s 51,517
2026-07-14 11:04:31,312 [INFO] iter 51: loss 4.3985, time 636.51ms, mfu 14.04%, tok/s 51,481
2026-07-14 11:04:31,950 [INFO] iter 52: loss 4.3588, time 637.03ms, mfu 14.05%, tok/s 51,439
2026-07-14 11:04:32,589 [INFO] iter 53: loss 4.3679, time 639.55ms, mfu 14.05%, tok/s 51,236
2026-07-14 11:04:33,228 [INFO] iter 54: loss 4.3276, time 638.65ms, mfu 14.05%, tok/s 51,308
2026-07-14 11:04:33,866 [INFO] iter 55: loss 4.2353, time 638.88ms, mfu 14.05%, tok/s 51,290
2026-07-14 11:04:34,505 [INFO] iter 56: loss 4.3218, time 638.68ms, mfu 14.05%, tok/s 51,306
2026-07-14 11:04:35,144 [INFO] iter 57: loss 4.3009, time 637.99ms, mfu 14.05%, tok/s 51,361
2026-07-14 11:04:35,781 [INFO] iter 58: loss 4.2517, time 637.17ms, mfu 14.06%, tok/s 51,428
2026-07-14 11:04:36,422 [INFO] iter 59: loss 4.1810, time 640.84ms, mfu 14.05%, tok/s 51,133
2026-07-14 11:04:37,062 [INFO] iter 60: loss 4.2032, time 640.93ms, mfu 14.05%, tok/s 51,125
2026-07-14 11:04:37,704 [INFO] iter 61: loss 4.2088, time 641.60ms, mfu 14.04%, tok/s 51,073
2026-07-14 11:04:38,340 [INFO] iter 62: loss 4.1596, time 635.94ms, mfu 14.05%, tok/s 51,527
2026-07-14 11:04:38,980 [INFO] iter 63: loss 4.1669, time 639.65ms, mfu 14.05%, tok/s 51,228
2026-07-14 11:04:39,621 [INFO] iter 64: loss 4.0859, time 641.22ms, mfu 14.04%, tok/s 51,102
2026-07-14 11:04:40,260 [INFO] iter 65: loss 4.0900, time 638.71ms, mfu 14.04%, tok/s 51,303
2026-07-14 11:04:40,897 [INFO] iter 66: loss 4.0944, time 637.42ms, mfu 14.05%, tok/s 51,408
2026-07-14 11:04:41,538 [INFO] iter 67: loss 4.0449, time 641.03ms, mfu 14.04%, tok/s 51,118
2026-07-14 11:04:42,175 [INFO] iter 68: loss 3.9866, time 637.52ms, mfu 14.05%, tok/s 51,400
2026-07-14 11:04:42,814 [INFO] iter 69: loss 4.0748, time 638.83ms, mfu 14.05%, tok/s 51,293
2026-07-14 11:04:43,450 [INFO] iter 70: loss 4.0667, time 636.00ms, mfu 14.05%, tok/s 51,522
2026-07-14 11:04:44,090 [INFO] iter 71: loss 4.0612, time 639.60ms, mfu 14.05%, tok/s 51,232
2026-07-14 11:04:44,730 [INFO] iter 72: loss 4.0017, time 639.86ms, mfu 14.05%, tok/s 51,211
2026-07-14 11:04:45,367 [INFO] iter 73: loss 3.9744, time 637.36ms, mfu 14.05%, tok/s 51,412
2026-07-14 11:04:46,005 [INFO] iter 74: loss 3.9862, time 637.98ms, mfu 14.06%, tok/s 51,362
2026-07-14 11:04:46,644 [INFO] iter 75: loss 3.9140, time 638.56ms, mfu 14.06%, tok/s 51,316
2026-07-14 11:04:47,282 [INFO] iter 76: loss 3.9179, time 638.14ms, mfu 14.06%, tok/s 51,349
2026-07-14 11:04:47,921 [INFO] iter 77: loss 3.9723, time 638.78ms, mfu 14.06%, tok/s 51,298
2026-07-14 11:04:48,559 [INFO] iter 78: loss 3.9843, time 638.41ms, mfu 14.06%, tok/s 51,328
2026-07-14 11:04:49,198 [INFO] iter 79: loss 3.9388, time 638.54ms, mfu 14.06%, tok/s 51,317
2026-07-14 11:04:49,840 [INFO] iter 80: loss 3.9213, time 642.16ms, mfu 14.05%, tok/s 51,027
2026-07-14 11:04:50,481 [INFO] iter 81: loss 3.9203, time 640.80ms, mfu 14.05%, tok/s 51,136
2026-07-14 11:04:51,119 [INFO] iter 82: loss 3.8650, time 638.80ms, mfu 14.05%, tok/s 51,296
2026-07-14 11:04:51,759 [INFO] iter 83: loss 3.9704, time 640.08ms, mfu 14.04%, tok/s 51,194
2026-07-14 11:04:52,396 [INFO] iter 84: loss 3.8763, time 636.90ms, mfu 14.05%, tok/s 51,449
