2026-07-14 10:51:51,606 [INFO] tokens per iteration will be: 32,768
2026-07-14 10:51:51,606 [INFO] run directory: out/tinystories_math_kernel_gpt2s_bs32_ctx1024_20260714_105151
2026-07-14 10:51:51,606 [INFO] Initializing a new model from scratch
2026-07-14 10:51:53,147 [INFO] model has 123.59M parameters
2026-07-14 10:51:53,594 [INFO] compiling the model... (takes a ~minute)
2026-07-14 10:51:54,008 [INFO] compile time 0.41s
2026-07-14 10:52:00,910 [INFO] step 0: val loss 10.9659
2026-07-14 10:52:02,481 [INFO] iter 0: loss 10.9707, time 8469.66ms, mfu -100.00%, tok/s 3,869
2026-07-14 10:52:03,143 [INFO] iter 1: loss 10.5064, time 645.91ms, mfu -100.00%, tok/s 50,732
2026-07-14 10:52:03,786 [INFO] iter 2: loss 10.0094, time 643.15ms, mfu -100.00%, tok/s 50,950
2026-07-14 10:52:04,425 [INFO] iter 3: loss 9.6564, time 639.01ms, mfu -100.00%, tok/s 51,279
2026-07-14 10:52:05,067 [INFO] iter 4: loss 9.4047, time 641.49ms, mfu -100.00%, tok/s 51,081
2026-07-14 10:52:05,710 [INFO] iter 5: loss 9.2409, time 643.39ms, mfu 13.95%, tok/s 50,930
2026-07-14 10:52:06,352 [INFO] iter 6: loss 9.1219, time 642.13ms, mfu 13.96%, tok/s 51,030
2026-07-14 10:52:06,994 [INFO] iter 7: loss 9.0338, time 641.57ms, mfu 13.96%, tok/s 51,074
2026-07-14 10:52:07,639 [INFO] iter 8: loss 8.9760, time 644.78ms, mfu 13.96%, tok/s 50,820
2026-07-14 10:52:08,280 [INFO] iter 9: loss 8.8714, time 641.21ms, mfu 13.96%, tok/s 51,103
2026-07-14 10:52:08,920 [INFO] iter 10: loss 8.7222, time 640.17ms, mfu 13.97%, tok/s 51,187
2026-07-14 10:52:09,563 [INFO] iter 11: loss 8.5329, time 642.48ms, mfu 13.97%, tok/s 51,002
2026-07-14 10:52:10,203 [INFO] iter 12: loss 8.5315, time 640.09ms, mfu 13.97%, tok/s 51,193
2026-07-14 10:52:10,847 [INFO] iter 13: loss 8.3638, time 644.86ms, mfu 13.97%, tok/s 50,814
2026-07-14 10:52:11,486 [INFO] iter 14: loss 8.3002, time 639.09ms, mfu 13.98%, tok/s 51,273
2026-07-14 10:52:12,128 [INFO] iter 15: loss 8.0193, time 641.23ms, mfu 13.98%, tok/s 51,102
2026-07-14 10:52:12,769 [INFO] iter 16: loss 8.0212, time 640.98ms, mfu 13.98%, tok/s 51,122
2026-07-14 10:52:13,409 [INFO] iter 17: loss 7.7796, time 639.86ms, mfu 13.99%, tok/s 51,211
2026-07-14 10:52:14,049 [INFO] iter 18: loss 7.7320, time 640.01ms, mfu 13.99%, tok/s 51,199
2026-07-14 10:52:14,692 [INFO] iter 19: loss 7.5412, time 642.73ms, mfu 13.99%, tok/s 50,982
2026-07-14 10:52:15,332 [INFO] iter 20: loss 7.4149, time 640.52ms, mfu 13.99%, tok/s 51,158
2026-07-14 10:52:15,973 [INFO] iter 21: loss 7.2589, time 641.11ms, mfu 13.99%, tok/s 51,111
2026-07-14 10:52:16,614 [INFO] iter 22: loss 7.1115, time 640.65ms, mfu 13.99%, tok/s 51,148
2026-07-14 10:52:17,257 [INFO] iter 23: loss 7.0074, time 642.94ms, mfu 13.99%, tok/s 50,966
2026-07-14 10:52:17,897 [INFO] iter 24: loss 6.8699, time 640.29ms, mfu 13.99%, tok/s 51,177
2026-07-14 10:52:18,539 [INFO] iter 25: loss 6.6739, time 642.58ms, mfu 13.99%, tok/s 50,995
2026-07-14 10:52:19,183 [INFO] iter 26: loss 6.5653, time 643.96ms, mfu 13.99%, tok/s 50,885
2026-07-14 10:52:19,824 [INFO] iter 27: loss 6.4785, time 640.64ms, mfu 13.99%, tok/s 51,149
2026-07-14 10:52:20,468 [INFO] iter 28: loss 6.3331, time 643.45ms, mfu 13.99%, tok/s 50,926
2026-07-14 10:52:21,110 [INFO] iter 29: loss 6.1339, time 642.19ms, mfu 13.98%, tok/s 51,025
2026-07-14 10:52:21,748 [INFO] iter 30: loss 6.0681, time 638.18ms, mfu 13.99%, tok/s 51,346
2026-07-14 10:52:22,391 [INFO] iter 31: loss 5.8594, time 643.30ms, mfu 13.99%, tok/s 50,937
2026-07-14 10:52:23,035 [INFO] iter 32: loss 5.7709, time 643.36ms, mfu 13.99%, tok/s 50,933
2026-07-14 10:52:23,676 [INFO] iter 33: loss 5.5996, time 641.43ms, mfu 13.99%, tok/s 51,086
2026-07-14 10:52:24,314 [INFO] iter 34: loss 5.5275, time 637.55ms, mfu 14.00%, tok/s 51,397
2026-07-14 10:52:24,954 [INFO] iter 35: loss 5.4305, time 640.16ms, mfu 14.00%, tok/s 51,187
2026-07-14 10:52:25,596 [INFO] iter 36: loss 5.2915, time 642.06ms, mfu 14.00%, tok/s 51,036
2026-07-14 10:52:26,235 [INFO] iter 37: loss 5.1343, time 639.92ms, mfu 14.00%, tok/s 51,206
2026-07-14 10:52:26,874 [INFO] iter 38: loss 5.0604, time 637.98ms, mfu 14.01%, tok/s 51,362
2026-07-14 10:52:27,515 [INFO] iter 39: loss 4.9889, time 641.73ms, mfu 14.01%, tok/s 51,062
2026-07-14 10:52:28,157 [INFO] iter 40: loss 4.9256, time 642.11ms, mfu 14.00%, tok/s 51,032
2026-07-14 10:52:28,799 [INFO] iter 41: loss 4.8283, time 642.15ms, mfu 14.00%, tok/s 51,029
2026-07-14 10:52:29,438 [INFO] iter 42: loss 4.7827, time 638.55ms, mfu 14.01%, tok/s 51,316
2026-07-14 10:52:30,080 [INFO] iter 43: loss 4.7694, time 641.68ms, mfu 14.00%, tok/s 51,066
2026-07-14 10:52:30,721 [INFO] iter 44: loss 4.6144, time 641.13ms, mfu 14.00%, tok/s 51,110
2026-07-14 10:52:31,359 [INFO] iter 45: loss 4.6575, time 638.40ms, mfu 14.01%, tok/s 51,328
2026-07-14 10:52:32,001 [INFO] iter 46: loss 4.5262, time 641.67ms, mfu 14.01%, tok/s 51,067
2026-07-14 10:52:32,639 [INFO] iter 47: loss 4.5301, time 638.36ms, mfu 14.01%, tok/s 51,332
2026-07-14 10:52:33,279 [INFO] iter 48: loss 4.5329, time 639.34ms, mfu 14.02%, tok/s 51,253
2026-07-14 10:52:33,919 [INFO] iter 49: loss 4.4622, time 640.17ms, mfu 14.02%, tok/s 51,186
2026-07-14 10:52:34,559 [INFO] iter 50: loss 4.4330, time 639.15ms, mfu 14.02%, tok/s 51,268
2026-07-14 10:52:35,200 [INFO] iter 51: loss 4.3786, time 642.35ms, mfu 14.02%, tok/s 51,012
2026-07-14 10:52:35,841 [INFO] iter 52: loss 4.3638, time 640.50ms, mfu 14.02%, tok/s 51,160
2026-07-14 10:52:36,480 [INFO] iter 53: loss 4.3485, time 639.09ms, mfu 14.02%, tok/s 51,273
2026-07-14 10:52:37,124 [INFO] iter 54: loss 4.3311, time 643.69ms, mfu 14.01%, tok/s 50,906
2026-07-14 10:52:37,765 [INFO] iter 55: loss 4.2529, time 640.93ms, mfu 14.01%, tok/s 51,126
2026-07-14 10:52:38,405 [INFO] iter 56: loss 4.3265, time 640.44ms, mfu 14.01%, tok/s 51,165
2026-07-14 10:52:39,044 [INFO] iter 57: loss 4.2819, time 638.96ms, mfu 14.02%, tok/s 51,283
2026-07-14 10:52:39,688 [INFO] iter 58: loss 4.2638, time 643.49ms, mfu 14.01%, tok/s 50,922
2026-07-14 10:52:40,328 [INFO] iter 59: loss 4.1827, time 641.09ms, mfu 14.01%, tok/s 51,113
2026-07-14 10:52:40,968 [INFO] iter 60: loss 4.2140, time 639.65ms, mfu 14.01%, tok/s 51,228
2026-07-14 10:52:41,611 [INFO] iter 61: loss 4.2211, time 642.13ms, mfu 14.01%, tok/s 51,030
2026-07-14 10:52:42,253 [INFO] iter 62: loss 4.1599, time 642.01ms, mfu 14.01%, tok/s 51,040
2026-07-14 10:52:42,892 [INFO] iter 63: loss 4.1618, time 639.45ms, mfu 14.01%, tok/s 51,244
2026-07-14 10:52:43,532 [INFO] iter 64: loss 4.0822, time 640.33ms, mfu 14.01%, tok/s 51,173
2026-07-14 10:52:44,174 [INFO] iter 65: loss 4.0842, time 641.25ms, mfu 14.01%, tok/s 51,100
2026-07-14 10:52:44,814 [INFO] iter 66: loss 4.0842, time 640.40ms, mfu 14.01%, tok/s 51,168
2026-07-14 10:52:45,456 [INFO] iter 67: loss 4.0432, time 642.03ms, mfu 14.01%, tok/s 51,038
2026-07-14 10:52:46,097 [INFO] iter 68: loss 3.9798, time 640.75ms, mfu 14.01%, tok/s 51,140
2026-07-14 10:52:46,738 [INFO] iter 69: loss 4.0552, time 641.35ms, mfu 14.01%, tok/s 51,092
2026-07-14 10:52:47,379 [INFO] iter 70: loss 4.0562, time 640.75ms, mfu 14.01%, tok/s 51,140
2026-07-14 10:52:48,026 [INFO] iter 71: loss 4.0518, time 647.11ms, mfu 13.99%, tok/s 50,638
2026-07-14 10:52:48,669 [INFO] iter 72: loss 4.0003, time 643.30ms, mfu 13.99%, tok/s 50,937
2026-07-14 10:52:49,310 [INFO] iter 73: loss 3.9766, time 640.27ms, mfu 13.99%, tok/s 51,178
2026-07-14 10:52:49,952 [INFO] iter 74: loss 3.9798, time 642.74ms, mfu 13.99%, tok/s 50,982
2026-07-14 10:52:50,596 [INFO] iter 75: loss 3.9363, time 643.57ms, mfu 13.99%, tok/s 50,916
2026-07-14 10:52:51,239 [INFO] iter 76: loss 3.9357, time 643.51ms, mfu 13.98%, tok/s 50,920
2026-07-14 10:52:51,879 [INFO] iter 77: loss 3.9901, time 639.61ms, mfu 13.99%, tok/s 51,231
2026-07-14 10:52:52,518 [INFO] iter 78: loss 3.9913, time 639.05ms, mfu 13.99%, tok/s 51,276
2026-07-14 10:52:53,158 [INFO] iter 79: loss 3.9442, time 639.56ms, mfu 14.00%, tok/s 51,235
2026-07-14 10:52:53,800 [INFO] iter 80: loss 3.9199, time 642.05ms, mfu 14.00%, tok/s 51,037
2026-07-14 10:52:54,442 [INFO] iter 81: loss 3.9183, time 642.46ms, mfu 13.99%, tok/s 51,004
2026-07-14 10:52:55,084 [INFO] iter 82: loss 3.8694, time 642.56ms, mfu 13.99%, tok/s 50,996
2026-07-14 10:52:55,727 [INFO] iter 83: loss 3.9862, time 642.12ms, mfu 13.99%, tok/s 51,031
2026-07-14 10:52:56,370 [INFO] iter 84: loss 3.8899, time 643.77ms, mfu 13.99%, tok/s 50,900
2026-07-14 10:52:57,014 [INFO] iter 85: loss 3.9209, time 643.21ms, mfu 13.98%, tok/s 50,945
