2026-07-12 16:41:55,612 [INFO] tokens per iteration will be: 491,520
2026-07-12 16:41:55,612 [INFO] Initializing a new model from scratch
2026-07-12 16:41:55,612 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-12 16:41:57,169 [INFO] model has 123.59M parameters
2026-07-12 16:41:57,617 [INFO] compiling the model... (takes a ~minute)
2026-07-12 16:42:28,702 [INFO] step 0: train loss 10.9658, val loss 10.9655, gpu_util n/a%, mem_allocated 0.53GB
2026-07-12 16:42:39,041 [INFO] iter 0: loss 10.9674, time 40987.64ms, mfu -100.00%, tok/s 11,992
2026-07-12 16:42:48,725 [INFO] iter 1: loss 10.9319, time 9198.35ms, mfu -100.00%, tok/s 53,436
2026-07-12 16:42:58,393 [INFO] iter 2: loss 10.8987, time 9672.52ms, mfu -100.00%, tok/s 50,816
2026-07-12 16:43:08,055 [INFO] iter 3: loss 10.8227, time 9663.49ms, mfu -100.00%, tok/s 50,864
2026-07-12 16:43:17,694 [INFO] iter 4: loss 10.7190, time 9637.40ms, mfu -100.00%, tok/s 51,001
2026-07-12 16:43:27,347 [INFO] iter 5: loss 10.6027, time 9654.20ms, mfu 13.95%, tok/s 50,913
2026-07-12 16:43:37,016 [INFO] iter 6: loss 10.4749, time 9670.54ms, mfu 13.95%, tok/s 50,827
2026-07-12 16:43:46,667 [INFO] iter 7: loss 10.3553, time 9649.86ms, mfu 13.95%, tok/s 50,935
2026-07-12 16:43:56,334 [INFO] iter 8: loss 10.2143, time 9666.34ms, mfu 13.95%, tok/s 50,849
2026-07-12 16:44:05,981 [INFO] iter 9: loss 10.0998, time 9647.82ms, mfu 13.95%, tok/s 50,946
2026-07-12 16:44:15,627 [INFO] iter 10: loss 9.9853, time 9643.26ms, mfu 13.95%, tok/s 50,970
2026-07-12 16:44:25,274 [INFO] iter 11: loss 9.8799, time 9648.24ms, mfu 13.95%, tok/s 50,944
2026-07-12 16:44:34,908 [INFO] iter 12: loss 9.7812, time 9633.18ms, mfu 13.95%, tok/s 51,024
2026-07-12 16:44:44,540 [INFO] iter 13: loss 9.6997, time 9632.75ms, mfu 13.95%, tok/s 51,026
2026-07-12 16:44:54,169 [INFO] iter 14: loss 9.6209, time 9629.62ms, mfu 13.96%, tok/s 51,043
2026-07-12 16:45:03,805 [INFO] iter 15: loss 9.5423, time 9637.25ms, mfu 13.96%, tok/s 51,002
2026-07-12 16:45:13,441 [INFO] iter 16: loss 9.4842, time 9633.16ms, mfu 13.96%, tok/s 51,024
2026-07-12 16:45:23,070 [INFO] iter 17: loss 9.3950, time 9632.34ms, mfu 13.96%, tok/s 51,028
2026-07-12 16:45:32,695 [INFO] iter 18: loss 9.3684, time 9622.19ms, mfu 13.97%, tok/s 51,082
2026-07-12 16:45:42,331 [INFO] iter 19: loss 9.3146, time 9637.32ms, mfu 13.97%, tok/s 51,002
2026-07-12 16:45:51,981 [INFO] iter 20: loss 9.2383, time 9648.88ms, mfu 13.97%, tok/s 50,941
2026-07-12 16:46:01,619 [INFO] iter 21: loss 9.2095, time 9640.05ms, mfu 13.97%, tok/s 50,987
2026-07-12 16:46:11,254 [INFO] iter 22: loss 9.2354, time 9634.81ms, mfu 13.97%, tok/s 51,015
2026-07-12 16:46:20,895 [INFO] iter 23: loss 9.1591, time 9641.13ms, mfu 13.97%, tok/s 50,982
2026-07-12 16:46:30,532 [INFO] iter 24: loss 9.0916, time 9637.55ms, mfu 13.97%, tok/s 51,001
2026-07-12 16:46:40,170 [INFO] iter 25: loss 9.1202, time 9636.37ms, mfu 13.97%, tok/s 51,007
2026-07-12 16:46:49,812 [INFO] iter 26: loss 9.0910, time 9642.89ms, mfu 13.97%, tok/s 50,972
2026-07-12 16:46:59,451 [INFO] iter 27: loss 9.0370, time 9637.81ms, mfu 13.97%, tok/s 50,999
2026-07-12 16:47:09,092 [INFO] iter 28: loss 8.9958, time 9643.23ms, mfu 13.97%, tok/s 50,970
2026-07-12 16:47:18,729 [INFO] iter 29: loss 8.9718, time 9637.10ms, mfu 13.97%, tok/s 51,003
2026-07-12 16:47:28,363 [INFO] iter 30: loss 8.9929, time 9631.01ms, mfu 13.97%, tok/s 51,035
2026-07-12 16:47:37,996 [INFO] iter 31: loss 8.9317, time 9636.57ms, mfu 13.97%, tok/s 51,006
