2026-07-13 19:23:54,073 [INFO] tokens per iteration will be: 131,072
2026-07-13 19:23:54,074 [INFO] Initializing a new model from scratch
2026-07-13 19:23:54,074 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 19:23:55,607 [INFO] model has 123.59M parameters
2026-07-13 19:23:56,028 [INFO] compiling the model... (takes a ~minute)
2026-07-13 19:24:09,093 [INFO] step 0: val loss 11.0172, gpu_util n/a%, mem_allocated 0.53GB
2026-07-13 19:25:28,954 [INFO] tokens per iteration will be: 131,072
2026-07-13 19:25:28,955 [INFO] Initializing a new model from scratch
2026-07-13 19:25:28,955 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 19:25:30,522 [INFO] model has 123.59M parameters
2026-07-13 19:25:30,978 [INFO] compiling the model... (takes a ~minute)
2026-07-13 19:25:44,113 [INFO] step 0: val loss 11.0172, gpu_util n/a%, mem_allocated 0.53GB
2026-07-13 19:25:47,853 [INFO] iter 0: loss 11.0157, time 16429.09ms, mfu -100.00%, tok/s 7,978
2026-07-13 19:25:50,326 [INFO] iter 1: loss 10.8273, time 42.07ms, mfu -100.00%, tok/s 3,115,399
2026-07-13 19:25:52,791 [INFO] iter 2: loss 10.5350, time 2466.10ms, mfu -100.00%, tok/s 53,150
2026-07-13 19:25:55,263 [INFO] iter 3: loss 10.2560, time 2466.83ms, mfu -100.00%, tok/s 53,134
2026-07-13 19:25:57,734 [INFO] iter 4: loss 10.0477, time 2472.50ms, mfu -100.00%, tok/s 53,012
2026-07-13 19:26:00,205 [INFO] iter 5: loss 9.8792, time 2471.62ms, mfu 14.53%, tok/s 53,031
2026-07-13 19:26:02,678 [INFO] iter 6: loss 9.7454, time 2485.67ms, mfu 14.52%, tok/s 52,731
2026-07-13 19:26:05,147 [INFO] iter 7: loss 9.6544, time 2472.57ms, mfu 14.52%, tok/s 53,010
2026-07-13 19:26:07,616 [INFO] iter 8: loss 9.5900, time 2469.12ms, mfu 14.52%, tok/s 53,085
2026-07-13 19:26:10,083 [INFO] iter 9: loss 9.5448, time 2470.72ms, mfu 14.52%, tok/s 53,050
2026-07-13 19:26:12,564 [INFO] iter 10: loss 9.4661, time 2466.62ms, mfu 14.53%, tok/s 53,138
2026-07-13 19:26:15,035 [INFO] iter 11: loss 9.4059, time 2479.96ms, mfu 14.52%, tok/s 52,853
2026-07-13 19:26:17,508 [INFO] iter 12: loss 9.2736, time 2471.21ms, mfu 14.52%, tok/s 53,040
2026-07-13 19:26:19,980 [INFO] iter 13: loss 9.1950, time 2473.11ms, mfu 14.52%, tok/s 52,999
2026-07-13 19:26:22,445 [INFO] iter 14: loss 9.0869, time 2470.21ms, mfu 14.52%, tok/s 53,061
2026-07-13 19:26:24,909 [INFO] iter 15: loss 8.9869, time 2467.41ms, mfu 14.53%, tok/s 53,121
2026-07-13 19:26:27,371 [INFO] iter 16: loss 8.8492, time 2461.00ms, mfu 14.53%, tok/s 53,260
2026-07-13 19:26:29,837 [INFO] iter 17: loss 8.8172, time 2461.87ms, mfu 14.54%, tok/s 53,241
2026-07-13 19:26:32,298 [INFO] iter 18: loss 8.7604, time 2467.27ms, mfu 14.54%, tok/s 53,124
2026-07-13 19:26:34,774 [INFO] iter 19: loss 8.6664, time 2462.95ms, mfu 14.54%, tok/s 53,217
2026-07-13 19:26:37,236 [INFO] iter 20: loss 8.6295, time 2476.99ms, mfu 14.54%, tok/s 52,916
2026-07-13 19:26:39,702 [INFO] iter 21: loss 8.5612, time 2461.74ms, mfu 14.54%, tok/s 53,244
2026-07-13 19:26:42,161 [INFO] iter 22: loss 8.5254, time 2466.45ms, mfu 14.55%, tok/s 53,142
2026-07-13 19:26:44,634 [INFO] iter 23: loss 8.5156, time 2457.22ms, mfu 14.55%, tok/s 53,342
2026-07-13 19:26:47,092 [INFO] iter 24: loss 8.3755, time 2473.24ms, mfu 14.55%, tok/s 52,996
2026-07-13 19:26:49,551 [INFO] iter 25: loss 8.3545, time 2459.49ms, mfu 14.55%, tok/s 53,292
2026-07-13 19:26:52,021 [INFO] iter 26: loss 8.3113, time 2455.14ms, mfu 14.56%, tok/s 53,387
2026-07-13 19:26:54,493 [INFO] iter 27: loss 8.2295, time 2472.21ms, mfu 14.56%, tok/s 53,018
2026-07-13 19:26:56,962 [INFO] iter 28: loss 8.1436, time 2472.05ms, mfu 14.55%, tok/s 53,022
2026-07-13 19:26:59,437 [INFO] iter 29: loss 8.0907, time 2469.52ms, mfu 14.55%, tok/s 53,076
2026-07-13 19:27:01,901 [INFO] iter 30: loss 8.0474, time 2474.68ms, mfu 14.55%, tok/s 52,965
2026-07-13 19:27:04,403 [INFO] iter 31: loss 7.9952, time 2464.51ms, mfu 14.55%, tok/s 53,184
2026-07-13 19:27:06,866 [INFO] iter 32: loss 7.9304, time 2501.12ms, mfu 14.53%, tok/s 52,405
2026-07-13 19:27:09,333 [INFO] iter 33: loss 7.8961, time 2465.73ms, mfu 14.53%, tok/s 53,157
