2026-07-13 21:27:39,512 [INFO] tokens per iteration will be: 65,536
2026-07-13 21:27:39,512 [INFO] Initializing a new model from scratch
2026-07-13 21:27:39,512 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 21:27:41,071 [INFO] model has 123.59M parameters
2026-07-13 21:27:41,524 [INFO] compiling the model... (takes a ~minute)
2026-07-13 21:27:52,041 [INFO] step 0: val loss 11.0250, gpu_util n/a%, mem_allocated 0.53GB
2026-07-13 21:28:00,755 [INFO] iter 0: loss 11.0319, time 18793.69ms, mfu -100.00%, tok/s 3,487
2026-07-13 21:28:02,013 [INFO] iter 1: loss 10.8619, time 35.65ms, mfu -100.00%, tok/s 1,838,550
2026-07-13 21:28:03,276 [INFO] iter 2: loss 10.5560, time 1257.65ms, mfu -100.00%, tok/s 52,110
2026-07-13 21:28:04,545 [INFO] iter 3: loss 10.3131, time 1261.98ms, mfu -100.00%, tok/s 51,931
2026-07-13 21:28:05,804 [INFO] iter 4: loss 10.0837, time 1270.06ms, mfu -100.00%, tok/s 51,601
2026-07-13 21:28:07,065 [INFO] iter 5: loss 9.8943, time 1259.31ms, mfu 13.31%, tok/s 52,041
2026-07-13 21:28:08,325 [INFO] iter 6: loss 9.7517, time 1260.43ms, mfu 13.31%, tok/s 51,995
2026-07-13 21:28:09,592 [INFO] iter 7: loss 9.6350, time 1258.41ms, mfu 13.31%, tok/s 52,078
2026-07-13 21:28:10,851 [INFO] iter 8: loss 9.5776, time 1268.47ms, mfu 13.30%, tok/s 51,665
2026-07-13 21:28:12,109 [INFO] iter 9: loss 9.5178, time 1258.80ms, mfu 13.30%, tok/s 52,062
2026-07-13 21:28:13,364 [INFO] iter 10: loss 9.4431, time 1258.07ms, mfu 13.31%, tok/s 52,093
2026-07-13 21:28:14,634 [INFO] iter 11: loss 9.4153, time 1251.78ms, mfu 13.32%, tok/s 52,354
2026-07-13 21:28:15,893 [INFO] iter 12: loss 9.2689, time 1272.36ms, mfu 13.30%, tok/s 51,507
2026-07-13 21:28:17,154 [INFO] iter 13: loss 9.1565, time 1260.42ms, mfu 13.30%, tok/s 51,995
2026-07-13 21:28:18,417 [INFO] iter 14: loss 9.0384, time 1260.97ms, mfu 13.30%, tok/s 51,973
2026-07-13 21:28:19,676 [INFO] iter 15: loss 9.0053, time 1261.30ms, mfu 13.30%, tok/s 51,959
